source_portal,source_url,slug,name,brand,description,published_at,overall_rating,power,control,rebound,maneuverability,sweet_spot
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-hrd-3-1-2022,adidas-metalbone-hrd-3-1-2022,Adidas Metalbone HRD 3.1 2022,Adidas,,2022-08-06T19:52:35.685Z,8.6,9.9,9.4,8.1,7.9,7.8
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-hrd-3-2-2023,adidas-metalbone-hrd-3-2-2023,Adidas Metalbone HRD 3.2 2023,Adidas,,2023-08-04T18:38:57.136Z,8.6,10.0,9.4,7.9,8.0,7.8
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-lite-2022,adidas-metalbone-lite-2022,Adidas Metalbone Lite 2022,Adidas,,2022-08-05T20:25:10.579Z,7.7,8.4,7.7,8.1,7.6,6.8
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-master-ltd-2023,adidas-metalbone-master-ltd-2023,Adidas Metalbone Master LTD 2023,Adidas,,2023-09-08T18:39:22.977Z,8.5,9.1,8.3,9.3,7.9,8.1
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-pro-edt-2024-ale-galan,adidas-metalbone-pro-edt-2024-ale-galan,Adidas Metalbone Pro EDT 2024 Ale Galan,Adidas,,2024-10-02T08:16:04.686Z,8.6,9.1,8.5,9.5,7.8,8.0
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-superlight-2026,adidas-metalbone-superlight-2026,Adidas Metalbone Superlight 2026,Adidas,,2025-12-08T12:49:08.718Z,7.8,6.9,7.5,8.5,8.0,7.9
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-team-2023,adidas-metalbone-team-2023,Adidas Metalbone Team 2023,Adidas,,2023-08-06T20:13:17.090Z,8.0,7.9,7.8,8.3,8.0,8.0
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-team-2024,adidas-metalbone-team-2024,Adidas Metalbone Team 2024,Adidas,,2023-12-20T12:16:33.772Z,8.1,8.1,7.8,8.6,7.9,8.2
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-team-2026,adidas-metalbone-team-2026,Adidas Metalbone Team 2026,Adidas,,2025-12-08T13:02:06.555Z,8.0,7.9,8.1,8.3,7.8,8.0
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-team-3-4-2025,adidas-metalbone-team-3-4-2025,Adidas Metalbone Team 3.4 2025,Adidas,,2025-02-12T15:12:17.740Z,8.2,8.2,8.2,8.4,8.0,8.0
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-team-light-2024,adidas-metalbone-team-light-2024,Adidas Metalbone Team Light 2024,Adidas,,2023-12-20T12:30:36.644Z,8.2,6.9,8.7,8.7,8.3,8.5
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-team-light-2026,adidas-metalbone-team-light-2026,Adidas Metalbone Team Light 2026,Adidas,,2025-12-08T12:47:16.704Z,8.2,7.1,8.5,8.5,8.6,8.4
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-team-light-3-4-2025,adidas-metalbone-team-light-3-4-2025,Adidas Metalbone Team Light 3.4 2025,Adidas,,2025-02-12T15:11:33.941Z,8.1,7.2,8.3,8.4,8.4,8.4
